TAG,TS_EPOCH_MS,VALUE
CHI.BR101.TT101.PV,1749643500000,37.008
CHI.BR101.TT101.PV,1749643560000,36.974
CHI.BR101.TT101.PV,1749643620000,36.992
CHI.BR101.TT101.PV,1749643680000,36.991
CHI.BR101.TT101.PV,1749643740000,37.025
CHI.BR101.TT101.PV,1749643800000,37.024
CHI.BR101.TT101.PV,1749643860000,37.039
CHI.BR101.TT101.PV,1749643920000,36.994
CHI.BR101.TT101.PV,1749643980000,37.016
CHI.BR101.TT101.PV,1749644040000,36.995
CHI.BR101.TT101.PV,1749644100000,37.009
CHI.BR101.TT101.PV,1749644160000,37.029
CHI.BR101.TT101.PV,1749644220000,37.003
CHI.BR101.TT101.PV,1749644280000,37.016
CHI.BR101.TT101.PV,1749644340000,37.045
CHI.BR101.TT101.PV,1749644400000,37.041
CHI.BR101.TT101.PV,1749644460000,37.024
CHI.BR101.TT101.PV,1749644520000,37.048
CHI.BR101.TT101.PV,1749644580000,37.064
CHI.BR101.TT101.PV,1749644640000,37.018
CHI.BR101.TT101.PV,1749644700000,37.068
CHI.BR101.TT101.PV,1749644760000,37.063
CHI.BR101.TT101.PV,1749644820000,37.044
CHI.BR101.TT101.PV,1749644880000,37.035
CHI.BR101.TT101.PV,1749644940000,37.085
CHI.BR101.TT101.PV,1749645000000,37.049
CHI.BR101.TT101.PV,1749645060000,37.037
CHI.BR101.TT101.PV,1749645120000,37.038
CHI.BR101.TT101.PV,1749645180000,37.085
CHI.BR101.TT101.PV,1749645240000,37.072
CHI.BR101.TT101.PV,1749645300000,37.086
CHI.BR101.TT101.PV,1749645360000,37.083
CHI.BR101.TT101.PV,1749645420000,37.072
CHI.BR101.TT101.PV,1749645480000,37.1
CHI.BR101.TT101.PV,1749645540000,37.065
CHI.BR101.TT101.PV,1749645600000,37.077
CHI.BR101.TT101.PV,1749645660000,37.094
CHI.BR101.TT101.PV,1749645720000,37.083
CHI.BR101.TT101.PV,1749645780000,37.098
CHI.BR101.TT101.PV,1749645840000,37.082
CHI.BR101.TT101.PV,1749645900000,37.09
CHI.BR101.TT101.PV,1749645960000,37.051
CHI.BR101.TT101.PV,1749646020000,37.063
CHI.BR101.TT101.PV,1749646080000,37.067
CHI.BR101.TT101.PV,1749646140000,37.054
CHI.BR101.TT101.PV,1749646200000,37.064
CHI.BR101.TT101.PV,1749646260000,37.056
CHI.BR101.TT101.PV,1749646320000,37.067
CHI.BR101.TT101.PV,1749646380000,37.088
CHI.BR101.TT101.PV,1749646440000,37.072
CHI.BR101.TT101.PV,1749646500000,37.072
CHI.BR101.TT101.PV,1749646560000,37.062
CHI.BR101.TT101.PV,1749646620000,37.065
CHI.BR101.TT101.PV,1749646680000,37.105
CHI.BR101.TT101.PV,1749646740000,37.087
CHI.BR101.TT101.PV,1749646800000,37.084
CHI.BR101.TT101.PV,1749646860000,37.057
CHI.BR101.TT101.PV,1749646920000,37.089
CHI.BR101.TT101.PV,1749646980000,37.055
CHI.BR101.TT101.PV,1749647040000,37.067
CHI.BR101.TT101.PV,1749647100000,37.102
CHI.BR101.TT101.PV,1749647160000,37.08
CHI.BR101.TT101.PV,1749647220000,37.074
CHI.BR101.TT101.PV,1749647280000,37.08
CHI.BR101.TT101.PV,1749647340000,37.088
CHI.BR101.TT101.PV,1749647400000,37.083
CHI.BR101.TT101.PV,1749647460000,37.048
CHI.BR101.TT101.PV,1749647520000,37.035
CHI.BR101.TT101.PV,1749647580000,37.05
CHI.BR101.TT101.PV,1749647640000,37.046
CHI.BR101.TT101.PV,1749647700000,37.041
CHI.BR101.TT101.PV,1749647760000,37.083
CHI.BR101.TT101.PV,1749647820000,37.077
CHI.BR101.TT101.PV,1749647880000,37.041
CHI.BR101.TT101.PV,1749647940000,37.059
CHI.BR101.TT101.PV,1749648000000,37.042
CHI.BR101.TT101.PV,1749648060000,37.071
CHI.BR101.TT101.PV,1749648120000,37.041
CHI.BR101.TT101.PV,1749648180000,37.027
CHI.BR101.TT101.PV,1749648240000,37.024
CHI.BR101.TT101.PV,1749648300000,37.04
CHI.BR101.TT101.PV,1749648360000,37.02
CHI.BR101.TT101.PV,1749648420000,37.037
CHI.BR101.TT101.PV,1749648480000,37.053
CHI.BR101.TT101.PV,1749648540000,37.021
CHI.BR101.TT101.PV,1749648600000,37.007
CHI.BR101.TT101.PV,1749648660000,37.052
CHI.BR101.TT101.PV,1749648720000,37.02
CHI.BR101.TT101.PV,1749648780000,36.992
CHI.BR101.TT101.PV,1749648840000,36.987
CHI.BR101.TT101.PV,1749648900000,36.988
CHI.BR101.TT101.PV,1749648960000,37.016
CHI.BR101.TT101.PV,1749649020000,37.024
CHI.BR101.TT101.PV,1749649080000,36.999
CHI.BR101.TT101.PV,1749649140000,36.974
CHI.BR101.TT101.PV,1749649200000,36.991
CHI.BR101.TT101.PV,1749649260000,37.025
CHI.BR101.TT101.PV,1749649320000,36.994
CHI.BR101.TT101.PV,1749649380000,37.018
CHI.BR101.TT101.PV,1749649440000,37.009
CHI.BR101.TT101.PV,1749649500000,36.955
CHI.BR101.TT101.PV,1749649560000,36.995
CHI.BR101.TT101.PV,1749649620000,36.99
CHI.BR101.TT101.PV,1749649680000,36.979
CHI.BR101.TT101.PV,1749649740000,36.96
CHI.BR101.TT101.PV,1749649800000,36.98
CHI.BR101.TT101.PV,1749649860000,36.946
CHI.BR101.TT101.PV,1749649920000,36.963
CHI.BR101.TT101.PV,1749649980000,36.962
CHI.BR101.TT101.PV,1749650040000,36.989
CHI.BR101.TT101.PV,1749650100000,36.982
CHI.BR101.TT101.PV,1749650160000,36.943
CHI.BR101.TT101.PV,1749650220000,36.955
CHI.BR101.TT101.PV,1749650280000,36.934
CHI.BR101.TT101.PV,1749650340000,36.976
CHI.BR101.TT101.PV,1749650400000,36.971
CHI.BR101.TT101.PV,1749650460000,36.935
CHI.BR101.TT101.PV,1749650520000,36.953
CHI.BR101.TT101.PV,1749650580000,36.95
CHI.BR101.TT101.PV,1749650640000,36.92
CHI.BR101.TT101.PV,1749650700000,36.955
CHI.BR101.TT101.PV,1749650760000,36.94
CHI.BR101.TT101.PV,1749650820000,36.953
CHI.BR101.TT101.PV,1749650880000,36.936
CHI.BR101.TT101.PV,1749650940000,36.903
CHI.BR101.TT101.PV,1749651000000,36.921
